"","Date","State","Gender","Legal","Indigenous","Count"
"1",2005-03-01,"ACT","Female","Remanded","ATSI",0
"2",2005-03-01,"ACT","Female","Remanded","Non-ATSI",2
"3",2005-03-01,"ACT","Female","Sentenced","ATSI",0
"4",2005-03-01,"ACT","Female","Sentenced","Non-ATSI",5
"5",2005-03-01,"ACT","Male","Remanded","ATSI",7
"6",2005-03-01,"ACT","Male","Remanded","Non-ATSI",58
"7",2005-03-01,"ACT","Male","Sentenced","ATSI",5
"8",2005-03-01,"ACT","Male","Sentenced","Non-ATSI",101
"9",2005-03-01,"NSW","Female","Remanded","ATSI",51
"10",2005-03-01,"NSW","Female","Remanded","Non-ATSI",131
"11",2005-03-01,"NSW","Female","Sentenced","ATSI",145
"12",2005-03-01,"NSW","Female","Sentenced","Non-ATSI",323
"13",2005-03-01,"NSW","Male","Remanded","ATSI",355
"14",2005-03-01,"NSW","Male","Remanded","Non-ATSI",1617
"15",2005-03-01,"NSW","Male","Sentenced","ATSI",1240
"16",2005-03-01,"NSW","Male","Sentenced","Non-ATSI",5156
"17",2005-03-01,"NT","Female","Remanded","ATSI",10
"18",2005-03-01,"NT","Female","Remanded","Non-ATSI",3
"19",2005-03-01,"NT","Female","Sentenced","ATSI",8
"20",2005-03-01,"NT","Female","Sentenced","Non-ATSI",4
"21",2005-03-01,"NT","Male","Remanded","ATSI",102
"22",2005-03-01,"NT","Male","Remanded","Non-ATSI",45
"23",2005-03-01,"NT","Male","Sentenced","ATSI",496
"24",2005-03-01,"NT","Male","Sentenced","Non-ATSI",117
"25",2005-03-01,"QLD","Female","Remanded","ATSI",23
"26",2005-03-01,"QLD","Female","Remanded","Non-ATSI",58
"27",2005-03-01,"QLD","Female","Sentenced","ATSI",71
"28",2005-03-01,"QLD","Female","Sentenced","Non-ATSI",202
"29",2005-03-01,"QLD","Male","Remanded","ATSI",216
"30",2005-03-01,"QLD","Male","Remanded","Non-ATSI",784
"31",2005-03-01,"QLD","Male","Sentenced","ATSI",974
"32",2005-03-01,"QLD","Male","Sentenced","Non-ATSI",2966
"33",2005-03-01,"SA","Female","Remanded","ATSI",13
"34",2005-03-01,"SA","Female","Remanded","Non-ATSI",25
"35",2005-03-01,"SA","Female","Sentenced","ATSI",10
"36",2005-03-01,"SA","Female","Sentenced","Non-ATSI",44
"37",2005-03-01,"SA","Male","Remanded","ATSI",113
"38",2005-03-01,"SA","Male","Remanded","Non-ATSI",373
"39",2005-03-01,"SA","Male","Sentenced","ATSI",167
"40",2005-03-01,"SA","Male","Sentenced","Non-ATSI",807
"41",2005-03-01,"TAS","Female","Remanded","ATSI",2
"42",2005-03-01,"TAS","Female","Remanded","Non-ATSI",8
"43",2005-03-01,"TAS","Female","Sentenced","ATSI",3
"44",2005-03-01,"TAS","Female","Sentenced","Non-ATSI",18
"45",2005-03-01,"TAS","Male","Remanded","ATSI",13
"46",2005-03-01,"TAS","Male","Remanded","Non-ATSI",93
"47",2005-03-01,"TAS","Male","Sentenced","ATSI",44
"48",2005-03-01,"TAS","Male","Sentenced","Non-ATSI",344
"49",2005-03-01,"VIC","Female","Remanded","ATSI",4
"50",2005-03-01,"VIC","Female","Remanded","Non-ATSI",58
"51",2005-03-01,"VIC","Female","Sentenced","ATSI",12
"52",2005-03-01,"VIC","Female","Sentenced","Non-ATSI",184
"53",2005-03-01,"VIC","Male","Remanded","ATSI",34
"54",2005-03-01,"VIC","Male","Remanded","Non-ATSI",553
"55",2005-03-01,"VIC","Male","Sentenced","ATSI",126
"56",2005-03-01,"VIC","Male","Sentenced","Non-ATSI",2563
"57",2005-03-01,"WA","Female","Remanded","ATSI",34
"58",2005-03-01,"WA","Female","Remanded","Non-ATSI",27
"59",2005-03-01,"WA","Female","Sentenced","ATSI",115
"60",2005-03-01,"WA","Female","Sentenced","Non-ATSI",95
"61",2005-03-01,"WA","Male","Remanded","ATSI",189
"62",2005-03-01,"WA","Male","Remanded","Non-ATSI",306
"63",2005-03-01,"WA","Male","Sentenced","ATSI",1057
"64",2005-03-01,"WA","Male","Sentenced","Non-ATSI",1587
"65",2005-06-01,"ACT","Female","Remanded","ATSI",1
"66",2005-06-01,"ACT","Female","Remanded","Non-ATSI",3
"67",2005-06-01,"ACT","Female","Sentenced","ATSI",0
"68",2005-06-01,"ACT","Female","Sentenced","Non-ATSI",6
"69",2005-06-01,"ACT","Male","Remanded","ATSI",7
"70",2005-06-01,"ACT","Male","Remanded","Non-ATSI",59
"71",2005-06-01,"ACT","Male","Sentenced","ATSI",3
"72",2005-06-01,"ACT","Male","Sentenced","Non-ATSI",104
"73",2005-06-01,"NSW","Female","Remanded","ATSI",53
"74",2005-06-01,"NSW","Female","Remanded","Non-ATSI",138
"75",2005-06-01,"NSW","Female","Sentenced","ATSI",135
"76",2005-06-01,"NSW","Female","Sentenced","Non-ATSI",326
"77",2005-06-01,"NSW","Male","Remanded","ATSI",351
"78",2005-06-01,"NSW","Male","Remanded","Non-ATSI",1624
"79",2005-06-01,"NSW","Male","Sentenced","ATSI",1223
"80",2005-06-01,"NSW","Male","Sentenced","Non-ATSI",5249
"81",2005-06-01,"NT","Female","Remanded","ATSI",7
"82",2005-06-01,"NT","Female","Remanded","Non-ATSI",3
"83",2005-06-01,"NT","Female","Sentenced","ATSI",15
"84",2005-06-01,"NT","Female","Sentenced","Non-ATSI",3
"85",2005-06-01,"NT","Male","Remanded","ATSI",99
"86",2005-06-01,"NT","Male","Remanded","Non-ATSI",41
"87",2005-06-01,"NT","Male","Sentenced","ATSI",526
"88",2005-06-01,"NT","Male","Sentenced","Non-ATSI",128
"89",2005-06-01,"QLD","Female","Remanded","ATSI",26
"90",2005-06-01,"QLD","Female","Remanded","Non-ATSI",55
"91",2005-06-01,"QLD","Female","Sentenced","ATSI",70
"92",2005-06-01,"QLD","Female","Sentenced","Non-ATSI",207
"93",2005-06-01,"QLD","Male","Remanded","ATSI",225
"94",2005-06-01,"QLD","Male","Remanded","Non-ATSI",794
"95",2005-06-01,"QLD","Male","Sentenced","ATSI",1008
"96",2005-06-01,"QLD","Male","Sentenced","Non-ATSI",2960
"97",2005-06-01,"SA","Female","Remanded","ATSI",12
"98",2005-06-01,"SA","Female","Remanded","Non-ATSI",27
"99",2005-06-01,"SA","Female","Sentenced","ATSI",10
"100",2005-06-01,"SA","Female","Sentenced","Non-ATSI",44
"101",2005-06-01,"SA","Male","Remanded","ATSI",92
"102",2005-06-01,"SA","Male","Remanded","Non-ATSI",359
"103",2005-06-01,"SA","Male","Sentenced","ATSI",151
"104",2005-06-01,"SA","Male","Sentenced","Non-ATSI",816
"105",2005-06-01,"TAS","Female","Remanded","ATSI",2
"106",2005-06-01,"TAS","Female","Remanded","Non-ATSI",6
"107",2005-06-01,"TAS","Female","Sentenced","ATSI",4
"108",2005-06-01,"TAS","Female","Sentenced","Non-ATSI",16
"109",2005-06-01,"TAS","Male","Remanded","ATSI",15
"110",2005-06-01,"TAS","Male","Remanded","Non-ATSI",98
"111",2005-06-01,"TAS","Male","Sentenced","ATSI",47
"112",2005-06-01,"TAS","Male","Sentenced","Non-ATSI",352
"113",2005-06-01,"VIC","Female","Remanded","ATSI",2
"114",2005-06-01,"VIC","Female","Remanded","Non-ATSI",57
"115",2005-06-01,"VIC","Female","Sentenced","ATSI",13
"116",2005-06-01,"VIC","Female","Sentenced","Non-ATSI",183
"117",2005-06-01,"VIC","Male","Remanded","ATSI",42
"118",2005-06-01,"VIC","Male","Remanded","Non-ATSI",545
"119",2005-06-01,"VIC","Male","Sentenced","ATSI",127
"120",2005-06-01,"VIC","Male","Sentenced","Non-ATSI",2623
"121",2005-06-01,"WA","Female","Remanded","ATSI",24
"122",2005-06-01,"WA","Female","Remanded","Non-ATSI",28
"123",2005-06-01,"WA","Female","Sentenced","ATSI",114
"124",2005-06-01,"WA","Female","Sentenced","Non-ATSI",102
"125",2005-06-01,"WA","Male","Remanded","ATSI",186
"126",2005-06-01,"WA","Male","Remanded","Non-ATSI",332
"127",2005-06-01,"WA","Male","Sentenced","ATSI",1125
"128",2005-06-01,"WA","Male","Sentenced","Non-ATSI",1640
"129",2005-09-01,"ACT","Female","Remanded","ATSI",0
"130",2005-09-01,"ACT","Female","Remanded","Non-ATSI",1
"131",2005-09-01,"ACT","Female","Sentenced","ATSI",0
"132",2005-09-01,"ACT","Female","Sentenced","Non-ATSI",5
"133",2005-09-01,"ACT","Male","Remanded","ATSI",9
"134",2005-09-01,"ACT","Male","Remanded","Non-ATSI",54
"135",2005-09-01,"ACT","Male","Sentenced","ATSI",4
"136",2005-09-01,"ACT","Male","Sentenced","Non-ATSI",114
"137",2005-09-01,"NSW","Female","Remanded","ATSI",53
"138",2005-09-01,"NSW","Female","Remanded","Non-ATSI",133
"139",2005-09-01,"NSW","Female","Sentenced","ATSI",123
"140",2005-09-01,"NSW","Female","Sentenced","Non-ATSI",314
"141",2005-09-01,"NSW","Male","Remanded","ATSI",324
"142",2005-09-01,"NSW","Male","Remanded","Non-ATSI",1520
"143",2005-09-01,"NSW","Male","Sentenced","ATSI",1249
"144",2005-09-01,"NSW","Male","Sentenced","Non-ATSI",5291
"145",2005-09-01,"NT","Female","Remanded","ATSI",5
"146",2005-09-01,"NT","Female","Remanded","Non-ATSI",3
"147",2005-09-01,"NT","Female","Sentenced","ATSI",13
"148",2005-09-01,"NT","Female","Sentenced","Non-ATSI",3
"149",2005-09-01,"NT","Male","Remanded","ATSI",94
"150",2005-09-01,"NT","Male","Remanded","Non-ATSI",29
"151",2005-09-01,"NT","Male","Sentenced","ATSI",529
"152",2005-09-01,"NT","Male","Sentenced","Non-ATSI",120
"153",2005-09-01,"QLD","Female","Remanded","ATSI",24
"154",2005-09-01,"QLD","Female","Remanded","Non-ATSI",52
"155",2005-09-01,"QLD","Female","Sentenced","ATSI",75
"156",2005-09-01,"QLD","Female","Sentenced","Non-ATSI",213
"157",2005-09-01,"QLD","Male","Remanded","ATSI",227
"158",2005-09-01,"QLD","Male","Remanded","Non-ATSI",762
"159",2005-09-01,"QLD","Male","Sentenced","ATSI",1030
"160",2005-09-01,"QLD","Male","Sentenced","Non-ATSI",2985
"161",2005-09-01,"SA","Female","Remanded","ATSI",16
"162",2005-09-01,"SA","Female","Remanded","Non-ATSI",32
"163",2005-09-01,"SA","Female","Sentenced","ATSI",10
"164",2005-09-01,"SA","Female","Sentenced","Non-ATSI",42
"165",2005-09-01,"SA","Male","Remanded","ATSI",101
"166",2005-09-01,"SA","Male","Remanded","Non-ATSI",375
"167",2005-09-01,"SA","Male","Sentenced","ATSI",153
"168",2005-09-01,"SA","Male","Sentenced","Non-ATSI",801
